midi_pitch,start_s,end_s
65,615.3173696145125,615.5350566893424
65,615.5524716553288,616.0778231292517
65,617.1372335600907,617.5813151927438
65,618.4375510204081,619.1138321995464
46,619.3953741496599,619.5840362811791
65,621.4648526077098,621.9321541950113
65,621.9379591836735,622.1701587301587
55,624.5066666666667,625.180045351474
57,625.3570975056689,625.6734693877551
55,625.9521088435374,626.1436734693877
57,626.195918367347,626.6835374149659
51,627.1189115646258,627.2814512471655
55,627.9345124716554,628.1492970521542
65,628.1492970521542,628.3118367346939
57,628.6398185941043,628.9126530612245
65,629.3509297052154,629.5599092970522
